kanji,reading,meaning
果物,くだもの,fruit
野菜,やさい,vegetable
お金,おかね,money
古い,ふるい,old
新しい,あたらしい,new
店,みせ,store/shop
宝石,ほうせき,gem/jewel
宝石店,ほうせきてん,jewellery store​/jewelry store/jewelry
買い物,かいもの,shopping
屋,や,shop/store/restaurant
薬,くすり,medicine/drugs
安い,やすい,cheap/inexpensive
高い,たかい,expensive/high-priced​/tall
軽い,かるい,light/lightweight/effortless
重い,おもい,heavy/weighty
動物,どうぶつ,animal
金属,きんぞく,metal
椅子,いす,chair/stool
紙,かみ,paper
現金,げんきん,cash
,もっと,more/even more/longer
,たくさん,a lot/lots/much
,おもちゃ,toy
肉,にく,flesh/meat
演劇,えんげき,drama/theatre/play/theater
映画,えいが,movie/film
遅い,おそい,slow
早い,はやい,fast
若い,わかい,young/youthful
同じ,おなじ,same/identical/equal/uniform
違う,ちがう,different
,みんな,everybody/everyone
幼い,おさない,little​/very young/childish
,ちょうどいい,just right/right
